[origional image resolution]:1200,750
150,-322.216,489.674,0,argentum,50
150,-280.544,591.608,0,sententia,50
150,-360.396,-241.332,0,spargere,50
150,-291.652,407.812,0,māgnitūdō,50
150,-281.855,478.14,0,celeriter,50
150,-279.877,398.755,0,posterus,50
150,-255.223,415.303,0,quīcumque,50
150,-265.656,-319.065,0,tempestas,50
150,-315.528,589.802,0,quisquam,50
150,-253.875,-113.673,0,placēre,50
150,-179.278,327.415,0,magister,50
150,-327.342,510.237,0,ingenium,50
150,-335.878,316.058,0,ēgregius,50
150,-232.588,-11.913,0,māgnus,50
150,-278.152,-160.15,0,prīncipium,50
150,-342.31,600.121,0,cōnsuētūdo,50
150,-332.645,434.107,0,frequēns,50
150,-171.844,298.97,0,dīgnitās,50
150,-211.579,75.0132,0,barbarus,50
150,-223.285,-80.4772,0,nocēre,50
150,-164.741,-398.312,0,potestās,50
150,-180.313,196.063,0,lēgātus,50
150,-190.545,-202.806,0,fēlīciter,50
150,-342.843,391.563,0,vestīgium,50
150,-293.58,515.841,0,disciplīna,50
148.696,-154.416,-1.8252,0,dēbeō,50
150,-196.036,-306.226,0,legere,50
150,-144.157,-90.1995,0,caedere,50
149.878,-261.685,-215.933,0,quīdam,50
150,-155.284,149.478,0,porta,50
150,14.1918,336.601,0,fātum,50
150,-278.785,-384.01,0,pontus,50
150,-290.291,-485.98,0,plērumque,30
150,-223.575,119.09,0,iuvāre,50
150,-98.6348,-124.945,0,stāre,50
150,-230.725,27.5686,0,potēns,50
148.57,-285.886,606.627,0,negōtium,50
135.754,-300.21,470.749,0,lingua,50
150,-225.818,-294.037,0,classis,50
150,-81.4078,185.697,0,tālis,50
150,47.2079,331.392,0,solvere,50
148.142,-63.9854,-132.066,0,enim,50
150,-369.479,251.995,0,condīciō,43
150,-58.4759,-173.411,0,ōrdō,50
150,-354.11,-14.955,0,quotiēns,33
128.705,-342.637,520.213,0,inquam,50
150,-156.459,-370.43,0,fūnus,50
142.175,-345.028,431.046,0,fīnis,50
150,-119.313,-231.024,0,surgere,50
150,111.229,352.509,0,fuga,50
150,-42.7869,105.027,0,hūc,50
150,-185.694,636.868,0,numerus,50
150,-83.9078,-420.856,0,diū:,50
139.409,-57.2465,56.5802,0,hōra,50
150,-182.697,-523.577,0,frangere,24
150,-51.4977,-48.2526,0,quālis,50
145.811,-33.6177,173.241,0,frūstrā,30
148.608,-71.5962,311.793,0,alius,46
145.361,-351.819,420.566,0,gaudium,47
150,-105.314,-306.926,0,arma,50
150,-185.77,660.17,0,stituere,50
150,-303.874,236.134,0,mittere,28
150,11.4767,-92.2346,0,iūs,50
150,-358.022,520.006,0,pōnō,44
148.972,-307.933,-410.289,0,iungere,25
150,31.5525,-188.345,0,rēx,50
139.214,-353.5,392.318,0,āra,50
146.656,-324,144.529,0,antequam,20
103.737,-213.099,603.964,0,salūs,46
131.014,-285.277,-51.3716,0,rumpere,34
129.891,24.3565,257.928,0,vel,50
64.7864,36.776,-267.732,0,tergum,50
117.408,-15.9165,75.2416,0,aiō,50
150,84.7189,335.716,0,dūrus,50
144.924,0.354706,-387.19,0,sīc,50
150,-151.297,-104.915,0,homō,37
131.102,-339.88,-549.503,0,gēns,31
131.201,305.378,486.537,0,gerere,50
137.539,26.2683,-264.3,0,vīta,38
67.5485,34.2982,182.85,0,vātēs,50
150,-331.983,-321.444,0,scīlicet,23
104.784,44.4199,25.9357,0,ācer,47
133.37,-343.691,328.252,0,ibi,50
133.494,-247.24,532.778,0,deus,34
132.336,-361.637,429.011,0,tuus,50
113.065,-337.837,70.3398,0,mortālis,21
100.275,-360.384,325.239,0,hīc,50
82.8143,82.4181,254.167,0,ubi,50
115.168,-362.816,-131.883,0,sīcut,26
48.5532,-364.664,340.529,0,hodiē,50
107.341,-152.027,600.333,0,vōx,50
